TGAS,HIP,cat,tenc,tenc.5per,tenc.95per,denc,denc.5per,denc.95per,venc,venc.5per,venc.95per
NA,103039,xh,-0.097,-0.099,-0.094,3.99493020620789,3.73929362200874,4.14078508551723,41.134846132518,40.8985909615522,41.369288671226
NA,14181,xh,-0.474,-0.498,-0.452,2.93191166449169,2.18118282051778,3.19210722437387,99.509670558796,99.2541546530447,99.7846063696104
NA,21421,xh,-0.486,-0.501,-0.473,2.60098250517432,2.37837520043843,2.70156795554875,40.8582518615474,40.7947836895683,40.9232263719009
NA,48714,xh,-0.391,-0.393,-0.389,4.28876425332292,3.71028081181861,4.6112273329884,24.1854678458868,23.9112250423827,24.4671463387589
6088054500713603072,64550,xt,-0.466,-0.478,-0.455,4.14944755200283,3.97815109304513,4.23942318639822,51.549842870287,50.4342761569908,52.5876865792807
1362592668307182592,86916,xt,-0.455,-0.533,-0.399,1.78364475548048,1.3868689380149,2.09113924869007,43.4306655970119,37.0471969114548,49.462926961432
NA,108706,xh,-0.448,-0.472,-0.425,4.15593992323217,3.79734881166716,4.40440024995877,17.2174295574254,16.7972406495198,17.6845409553141
NA,3821,xh,-0.217,-0.218,-0.216,2.89245390322478,2.78750969983027,2.93975947254487,23.4153847925906,23.2650076072732,23.5741959643078
NA,21553,xh,-0.281,-0.286,-0.277,1.08423617695709,0.99066417665974,1.15104894399497,34.924399932711,34.7843883629981,35.0827335674878
6562924982812531712,106440,xt,-0.062,-0.102,-0.007,4.86047591709367,4.28126530371732,4.97000716520786,16.6356795088349,16.273976090651,17.5017143427555
1669449080671046144,71898,xt,-0.282,-0.284,-0.28,2.02789229800676,2.00983380570854,2.03719553844756,37.3412265510791,37.1831046355615,37.5046635070683
5994771143940476928,78170,xt,-0.363,-0.368,-0.358,3.64896469257727,3.5616006092959,3.7000257016416,38.6022474616118,38.0995451071172,39.075172891232
NA,88601,xh,-0.21,-0.211,-0.209,3.00720255087447,2.89968539483807,3.05724133031387,19.0121168620637,18.8761136142884,19.159411855128
4258375617747092992,92200,xt,-0.36,-0.362,-0.357,3.83786403491905,3.71351853807061,3.90498452400177,37.6413756523014,37.4894700081746,37.7909295619925
NA,116132,xh,-0.273,-0.282,-0.265,4.07428861738868,3.83811454334686,4.20050448911966,16.6087052891679,16.1357304563978,17.135219527927
NA,12781,xh,-0.221,-0.223,-0.218,3.31531379006766,2.88412849641208,3.55118816081278,29.8198516675911,29.5134817386006,30.1629566911778
NA,34603,xh,-0.181,-0.186,-0.176,2.09635745258363,1.71578158115571,2.33564778977182,32.0253596535269,31.2092686123735,32.8726643717347
NA,35136,xh,-0.199,-0.201,-0.197,2.54909447980386,2.5262920232619,2.56018981813487,81.9594737882004,81.7964613273471,82.1259431066836
NA,38625,xh,-0.228,-0.242,-0.215,4.51697163189259,3.68555502792078,5.13546170925279,83.9244495455396,82.7444969869421,85.133339347321
NA,439,xh,-0.008,-0.008,-0.008,4.26496876113373,4.20828117459637,4.29513874205537,102.231028235955,101.38848919511,103.063535462924
676689861469564544,39826,xt,-0.245,-0.251,-0.239,4.96678526010601,4.67335078780184,5.13315758930959,68.4030676583186,66.5894404828066,70.0957534182764
3840711729206827520,46655,xt,-0.249,-0.252,-0.247,4.79739116182294,4.49898107680751,4.92472065985538,34.4345279746412,33.9509054648755,34.9274131708165
3735000626863070208,62452,xt,-0.223,-0.225,-0.222,4.86991173255698,4.64878847004358,4.97352516794061,28.1187270849615,27.8801659885733,28.3709683653496
NA,82817,xh,-0.148,-0.149,-0.146,2.865886391877,2.24536856667423,3.32330355499456,36.2710949641678,35.4544816740471,37.311116694248
NA,86400,rh,-0.257,-0.265,-0.248,2.4690263798354,2.32293854508551,2.55777017089759,40.8108595158737,39.4855429536044,42.058409437729
NA,91438,rh,-0.235,-0.239,-0.23,3.22491797044707,3.1029286548854,3.28953254488194,52.8363713305701,51.8457323759816,53.7781571647165
NA,93858,rh,-0.227,-0.232,-0.222,4.38122555898509,4.06767000542564,4.53626138194652,70.5050164559217,69.0433412553413,71.8971512012527
2246207285229602048,101180,xt,-0.235,-0.237,-0.234,1.670522209681,1.60612729253425,1.69987601941656,32.7474814301236,32.5771119129633,32.9123126439791
1839746389383317760,104539,xt,-10.506,-25.14,-5.805,1.42007521341002,0.254406070368244,54.7212616509119,10.2025121154851,3.27719217165614,17.1623888509351
NA,1475,xh,-0.053,-0.053,-0.052,2.88679048038274,2.84638586796095,2.90817927520204,39.4699239738632,39.2802702018056,39.6634640799784
NA,5643,xh,-0.073,-0.075,-0.071,2.81464246270085,2.51289535157279,2.9940439256995,32.0633255541987,31.6447841313117,32.5241219068331
NA,25578,xh,-0.169,-0.175,-0.163,3.85507646561646,2.99639998586686,4.53230735256851,45.8473337429044,44.814911504919,47.1581993562743
939072609037892224,33226,xt,-0.104,-0.105,-0.103,4.8202272244968,4.73934009986145,4.86534718055382,25.8134103717135,25.7111676919791,25.9161436568183
3089711374373226496,40501,xt,-0.171,-0.172,-0.169,3.65299726398987,3.52710510665944,3.71242412474478,46.7392454947655,46.575340984395,46.9026578836294
6002807268264109056,76074,xt,-0.152,-0.154,-0.135,4.40648337904477,3.29905058424649,5.08233181878127,25.4340661507831,22.042730254468,29.2358872408913
NA,88574,xh,-0.117,-0.119,-0.116,3.23413418647781,3.04936228966356,3.34517176205784,58.7594344390649,58.5471219090863,58.984824618521
NA,89937,xh,-0.1,-0.101,-0.099,4.64624968374908,4.50593205110217,4.72144656597454,64.1772772005056,63.9254876389275,64.4317345862331
NA,1242,xh,0,0,0,4.98761801059523,4.42701698216246,5.40917305710722,28.6688951224803,28.4099331261247,28.9831301845355
NA,8102,rh,0,0,0,3.65442267693787,3.64789484650986,3.65806758814369,63.8028852528621,63.091151373356,64.6025088562795
NA,16537,xh,0,0,0,3.22344012023937,3.21866929014186,3.22610271668048,33.1412788207183,33.128534107121,33.1547374095936
NA,19849,xh,0,0,0,4.99288883553693,4.97361040349933,5.00279742243981,113.295054181284,113.125734416554,113.459070216534
NA,24186,xh,-0.012,-0.012,-0.012,2.28157998314517,2.24297539629579,2.30414025589244,270.890244809689,270.327914696174,271.487834953097
4863923915804133376,NULL,rt,-8.97,-9.868,-8.002,1.55488476937157,0.680616450801345,26.3407093426013,22.1062669582358,20.8577903501929,23.6668389550567
NA,30920,xh,0,0,0,4.13641935522857,3.9522288599004,4.22545791028037,14.1703280235387,13.8794636540281,14.4704205419053
NA,36208,xh,0,0,0,3.81110837102201,3.7555800704309,3.84525977990805,52.1196955784092,51.5246557828876,52.7211201351366
NA,49908,xh,0,0,0,4.87192367062086,4.82887912887334,4.89421562374005,28.1493880767187,28.0034989631189,28.2935608275549
